Dataset,ROC-AUC,MCC
0_0_0_0,0.5568181818181818,0
0_0_0_0,0.6022727272727273,0
0_0_0_0,0.35227272727272724,0
0_0_0_0,0.7613636363636365,0
0_0_0_0,0.9886363636363636,0
0_0_0_0,0.8636363636363636,0
0_0_0_0,0.5,0
0_0_0_0,0.38636363636363635,0
0_0_0_0,0.8181818181818181,0
0_0_0_0,0.8295454545454545,0
0_0_0_0,0.6931818181818182,0
0_0_0_0,0.6704545454545454,0
0_0_0_0,0.47727272727272724,0
0_0_0_0,0.625,0
0_0_0_0,0.3409090909090909,0
0_0_0_0,0.8636363636363636,0
0_0_0_0,0.7613636363636364,0
0_0_0_0,0.6477272727272727,0
0_0_0_0,0.875,0
0_0_0_0,0.875,0
0_0_0_0,0.6136363636363636,0
0_0_0_0,0.29545454545454547,0
0_0_0_0,0.15909090909090912,0
0_0_0_0,0.8409090909090909,0
0_0_0_0,0.875,0
0_0_0_0,0.7613636363636364,0
0_0_0_0,0.9545454545454545,0
0_0_0_0,0.4204545454545454,0
0_0_0_0,0.8181818181818182,0
0_0_0_0,0.6704545454545454,0
0_0_0_0,0.22727272727272727,0
0_0_0_0,0.8977272727272728,0
0_0_0_0,0.8977272727272727,0
0_0_0_0,0.9090909090909091,0
0_0_0_0,0.9318181818181818,0
0_0_0_0,0.9545454545454545,0
0_0_0_0,0.8977272727272728,0
0_0_0_0,0.9886363636363636,0
0_0_0_0,0.8181818181818181,0
0_0_0_0,0.6818181818181819,0
0_0_0_0,0.8068181818181818,0
0_0_0_0,0.36363636363636365,0
0_0_0_0,0.75,0
0_0_0_0,0.8522727272727273,0
0_0_0_0,0.9318181818181819,0
0_0_0_0,0.9090909090909091,0
0_0_0_0,0.8522727272727273,0
0_0_0_0,0.9318181818181818,0
0_0_0_0,0.45454545454545453,0
0_0_0_0,0.9886363636363636,0
0_0_0_1,0.8125,0
0_0_0_1,0.9375,0
0_0_0_1,0.6875,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.8958333333333334,0
0_0_0_1,0.8541666666666666,0
0_0_0_1,0.9791666666666666,1
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.8958333333333334,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.8958333333333334,0
0_0_0_1,0.8541666666666666,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.8541666666666666,0
0_0_0_1,0.8958333333333334,0
0_0_0_1,0.9375,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.8958333333333334,0
0_0_0_1,0.8958333333333333,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.8958333333333333,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.9375,0
0_0_0_1,0.9375,0
0_0_0_1,0.8958333333333334,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.8125,0
0_0_0_1,0.8958333333333334,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.7708333333333333,0
0_0_0_1,0.9375,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.8958333333333334,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.9375,0
0_0_0_1,0.8541666666666666,0
0_0_0_1,0.8958333333333334,0
0_0_0_1,0.8958333333333334,0
0_0_1_0,0.35714285714285715,0
0_0_1_0,0.0892857142857143,0
0_0_1_0,0.5535714285714286,0
0_0_1_0,0.14285714285714285,0
0_0_1_0,0.14285714285714285,0
0_0_1_0,0.44642857142857145,0
0_0_1_0,0.3214285714285714,0
0_0_1_0,0.35714285714285715,0
0_0_1_0,0.5178571428571428,0
0_0_1_0,0.3571428571428571,0
0_0_1_0,0.4285714285714286,0
0_0_1_0,0.2142857142857143,0
0_0_1_0,0.3392857142857143,0
0_0_1_0,0.4285714285714286,0
0_0_1_0,0.3214285714285714,0
0_0_1_0,0.625,0
