dataset,mcc_breiman,mcc_ancestor,mcc_zhu
ACSF1,0.7878787878787878,0.7878787878787878,0.7878787878787878
ACSF1,0.8080808080808081,0.8080808080808081,0.797979797979798
ACSF1,0.7878787878787878,0.7676767676767676,0.7777777777777778
ACSF1,0.8080808080808081,0.7777777777777778,0.7878787878787878
ACSF1,0.8080808080808081,0.8282828282828283,0.7878787878787878
ACSF1,0.7777777777777778,0.7676767676767676,0.7777777777777778
ACSF1,0.7878787878787878,0.797979797979798,0.7878787878787878
ACSF1,0.797979797979798,0.8181818181818182,0.7878787878787878
ACSF1,0.797979797979798,0.7777777777777778,0.797979797979798
ACSF1,0.8080808080808081,0.8383838383838383,0.8383838383838383
ACSF1,0.7676767676767676,0.8181818181818182,0.8080808080808081
ACSF1,0.8181818181818182,0.8282828282828283,0.8282828282828283
ACSF1,0.7878787878787878,0.7777777777777778,0.7777777777777778
ACSF1,0.8080808080808081,0.7777777777777778,0.7777777777777778
ACSF1,0.7575757575757576,0.7676767676767676,0.7777777777777778
ACSF1,0.797979797979798,0.7676767676767676,0.7777777777777778
ACSF1,0.8080808080808081,0.8080808080808081,0.8080808080808081
ACSF1,0.797979797979798,0.8181818181818182,0.7878787878787878
ACSF1,0.797979797979798,0.7676767676767676,0.7878787878787878
ACSF1,0.797979797979798,0.797979797979798,0.7878787878787878
ACSF1,0.8080808080808081,0.797979797979798,0.7878787878787878
ACSF1,0.8181818181818182,0.8383838383838383,0.8282828282828283
ACSF1,0.7878787878787878,0.8080808080808081,0.8080808080808081
ACSF1,0.7777777777777778,0.7777777777777778,0.7878787878787878
ACSF1,0.7878787878787878,0.8080808080808081,0.797979797979798
ACSF1,0.7676767676767676,0.7676767676767676,0.7676767676767676
ACSF1,0.797979797979798,0.7676767676767676,0.7676767676767676
ACSF1,0.7676767676767676,0.8080808080808081,0.8080808080808081
ACSF1,0.797979797979798,0.7676767676767676,0.7676767676767676
ACSF1,0.7777777777777778,0.797979797979798,0.7676767676767676
ACSF1,0.8080808080808081,0.797979797979798,0.797979797979798
ACSF1,0.7777777777777778,0.7878787878787878,0.7676767676767676
ACSF1,0.7878787878787878,0.8080808080808081,0.8080808080808081
ACSF1,0.7777777777777778,0.7575757575757576,0.7575757575757576
ACSF1,0.7676767676767676,0.7777777777777778,0.7777777777777778
ACSF1,0.7777777777777778,0.7777777777777778,0.7878787878787878
ACSF1,0.8181818181818182,0.8080808080808081,0.8080808080808081
ACSF1,0.7878787878787878,0.7777777777777778,0.7878787878787878
ACSF1,0.7575757575757576,0.7878787878787878,0.7575757575757576
ACSF1,0.7878787878787878,0.797979797979798,0.7878787878787878
ACSF1,0.7878787878787878,0.8282828282828283,0.8181818181818182
ACSF1,0.8080808080808081,0.7777777777777778,0.7878787878787878
ACSF1,0.7676767676767676,0.7575757575757576,0.7676767676767676
ACSF1,0.797979797979798,0.8080808080808081,0.8181818181818182
ACSF1,0.797979797979798,0.7777777777777778,0.7777777777777778
ACSF1,0.797979797979798,0.797979797979798,0.7878787878787878
ACSF1,0.8383838383838383,0.8080808080808081,0.797979797979798
ACSF1,0.7878787878787878,0.7878787878787878,0.797979797979798
ACSF1,0.797979797979798,0.7878787878787878,0.797979797979798
ACSF1,0.7878787878787878,0.7878787878787878,0.7878787878787878
Adiac,0.717948717948718,0.7282051282051282,0.7333333333333333
Adiac,0.7051282051282052,0.7256410256410256,0.7230769230769231
Adiac,0.7256410256410256,0.7410256410256411,0.7333333333333333
Adiac,0.7256410256410256,0.7333333333333333,0.7230769230769231
Adiac,0.7051282051282052,0.7282051282051282,0.7256410256410256
