Dataset,ROC-AUC,MCC
0_0_0_0,0.9886363636363636,0
0_0_0_0,0.8977272727272727,0
0_0_0_0,0.9886363636363636,0
0_0_0_0,0.7727272727272727,0
0_0_0_0,0.8068181818181819,0
0_0_0_0,0.9886363636363636,0
0_0_0_0,0.75,0
0_0_0_0,0.9886363636363636,0
0_0_0_0,0.9090909090909091,0
0_0_0_0,0.8068181818181819,0
0_0_0_0,0.7840909090909091,0
0_0_0_0,0.875,0
0_0_0_0,0.8409090909090909,0
0_0_0_0,0.8295454545454546,0
0_0_0_0,0.9090909090909091,0
0_0_0_0,0.8636363636363636,0
0_0_0_0,0.9545454545454545,0
0_0_0_0,0.875,0
0_0_0_0,0.9545454545454545,0
0_0_0_0,0.9886363636363636,0
0_0_0_0,0.9886363636363636,0
0_0_0_0,0.9886363636363636,0
0_0_0_0,0.9545454545454545,0
0_0_0_0,0.9545454545454545,0
0_0_0_0,0.8977272727272727,0
0_0_0_0,0.5681818181818181,0
0_0_0_0,0.8977272727272727,0
0_0_0_0,0.9886363636363636,0
0_0_0_0,0.8977272727272727,0
0_0_0_0,0.9204545454545454,0
0_0_0_0,0.45454545454545453,0
0_0_0_0,0.8181818181818181,0
0_0_0_0,0.8181818181818181,0
0_0_0_0,0.9886363636363636,0
0_0_0_0,0.9545454545454545,0
0_0_0_0,0.8977272727272727,0
0_0_0_0,0.5795454545454546,0
0_0_0_0,0.8977272727272727,0
0_0_0_0,0.7727272727272728,0
0_0_0_0,0.7159090909090909,0
0_0_0_0,0.7954545454545454,0
0_0_0_0,0.8522727272727272,0
0_0_0_0,0.3068181818181818,0
0_0_0_0,0.8522727272727273,0
0_0_0_0,0.6590909090909091,0
0_0_0_0,0.875,0
0_0_0_0,0.7159090909090909,0
0_0_0_0,0.8068181818181818,0
0_0_0_0,0.9886363636363636,0
0_0_0_0,0.6022727272727273,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.8958333333333334,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.8958333333333334,0
0_0_0_1,0.9375,0
0_0_0_1,0.8958333333333334,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.8958333333333334,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.9375,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.8541666666666666,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.9375,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.8541666666666666,0
0_0_0_1,0.9375,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.9375,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.8958333333333334,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.9791666666666666,1
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.9791666666666666,1
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.8541666666666666,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.9375,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.9791666666666666,0
0_0_0_1,0.9791666666666666,0
0_0_1_0,0.3571428571428572,0
0_0_1_0,0.5714285714285714,0
0_0_1_0,0.46428571428571436,0
0_0_1_0,0.3928571428571429,0
0_0_1_0,0.4642857142857143,0
0_0_1_0,0.4642857142857143,0
0_0_1_0,0.6071428571428572,0
0_0_1_0,0.42857142857142855,0
0_0_1_0,0.6428571428571429,0
0_0_1_0,0.4464285714285714,0
0_0_1_0,0.5714285714285714,0
0_0_1_0,0.19642857142857145,0
0_0_1_0,0.5357142857142857,0
0_0_1_0,0.23214285714285715,0
0_0_1_0,0.375,0
0_0_1_0,0.26785714285714285,0
0_0_1_0,0.5357142857142857,0
0_0_1_0,0.5,0
0_0_1_0,0.33928571428571425,0
0_0_1_0,0.07142857142857142,0
