dataset,accuracy_rf,accuracy_breiman,accuracy_ancestor,accuracy_zhu
ACSF1,0.7272727272727273,0.7777777777777778,0.8080808080808081,0.7777777777777778
ACSF1,0.7575757575757576,0.7575757575757576,0.7676767676767676,0.7777777777777778
ACSF1,0.7878787878787878,0.8181818181818182,0.8181818181818182,0.8181818181818182
ACSF1,0.7474747474747475,0.7272727272727273,0.7878787878787878,0.7676767676767676
ACSF1,0.7676767676767676,0.7777777777777778,0.8080808080808081,0.7575757575757576
ACSF1,0.7373737373737373,0.7676767676767676,0.8080808080808081,0.7878787878787878
ACSF1,0.7373737373737373,0.7878787878787878,0.7777777777777778,0.7777777777777778
ACSF1,0.7272727272727273,0.7777777777777778,0.7777777777777778,0.7676767676767676
ACSF1,0.7272727272727273,0.8181818181818182,0.8383838383838383,0.8181818181818182
ACSF1,0.7575757575757576,0.7474747474747475,0.7676767676767676,0.7777777777777778
ACSF1,0.7676767676767676,0.8080808080808081,0.8383838383838383,0.8282828282828283
ACSF1,0.7474747474747475,0.7777777777777778,0.8080808080808081,0.7676767676767676
ACSF1,0.7878787878787878,0.7676767676767676,0.7878787878787878,0.7676767676767676
ACSF1,0.7575757575757576,0.7474747474747475,0.7474747474747475,0.7676767676767676
ACSF1,0.7676767676767676,0.797979797979798,0.8181818181818182,0.797979797979798
ACSF1,0.7171717171717171,0.8080808080808081,0.797979797979798,0.7878787878787878
ACSF1,0.7373737373737373,0.797979797979798,0.8080808080808081,0.7777777777777778
ACSF1,0.7474747474747475,0.7878787878787878,0.8080808080808081,0.7878787878787878
ACSF1,0.7070707070707071,0.7777777777777778,0.7777777777777778,0.7878787878787878
ACSF1,0.7676767676767676,0.7878787878787878,0.8080808080808081,0.797979797979798
ACSF1,0.7373737373737373,0.7474747474747475,0.7777777777777778,0.7474747474747475
ACSF1,0.6868686868686869,0.7474747474747475,0.797979797979798,0.7575757575757576
ACSF1,0.7878787878787878,0.8080808080808081,0.8080808080808081,0.797979797979798
ACSF1,0.7676767676767676,0.8080808080808081,0.8080808080808081,0.8181818181818182
ACSF1,0.7575757575757576,0.7676767676767676,0.7575757575757576,0.7474747474747475
