dataset,accuracy_breiman,accuracy_ancestor,accuracy_zhu
ACSF1,0.7777777777777778,0.8181818181818182,0.7878787878787878
ACSF1,0.7878787878787878,0.8080808080808081,0.7878787878787878
ACSF1,0.8181818181818182,0.8080808080808081,0.797979797979798
ACSF1,0.797979797979798,0.7878787878787878,0.797979797979798
ACSF1,0.797979797979798,0.7676767676767676,0.7777777777777778
ACSF1,0.7878787878787878,0.7878787878787878,0.7777777777777778
ACSF1,0.7777777777777778,0.8080808080808081,0.8080808080808081
ACSF1,0.8181818181818182,0.797979797979798,0.7777777777777778
ACSF1,0.8080808080808081,0.797979797979798,0.7878787878787878
ACSF1,0.8282828282828283,0.797979797979798,0.8080808080808081
Adiac,0.7333333333333333,0.7333333333333333,0.735897435897436
Adiac,0.735897435897436,0.7461538461538462,0.7410256410256411
Adiac,0.7435897435897436,0.7461538461538462,0.7435897435897436
Adiac,0.7333333333333333,0.7487179487179487,0.7564102564102564
Adiac,0.717948717948718,0.735897435897436,0.7384615384615385
Adiac,0.7307692307692307,0.7307692307692307,0.7282051282051282
Adiac,0.7410256410256411,0.7461538461538462,0.7487179487179487
Adiac,0.7307692307692307,0.7410256410256411,0.7487179487179487
Adiac,0.7282051282051282,0.7307692307692307,0.7410256410256411
Adiac,0.7128205128205128,0.7153846153846154,0.7153846153846154
ArrowHead,0.7758620689655172,0.7701149425287356,0.7586206896551724
ArrowHead,0.7758620689655172,0.7816091954022989,0.7701149425287356
ArrowHead,0.735632183908046,0.764367816091954,0.7183908045977011
ArrowHead,0.7413793103448276,0.764367816091954,0.7413793103448276
ArrowHead,0.7758620689655172,0.7931034482758621,0.7701149425287356
ArrowHead,0.7528735632183908,0.764367816091954,0.7528735632183908
ArrowHead,0.7816091954022989,0.8045977011494253,0.7873563218390804
ArrowHead,0.7701149425287356,0.7931034482758621,0.7701149425287356
ArrowHead,0.7413793103448276,0.7586206896551724,0.7298850574712644
ArrowHead,0.735632183908046,0.764367816091954,0.7471264367816092
BME,0.9395973154362416,0.87248322147651,0.8791946308724832
BME,0.9664429530201343,0.9194630872483222,0.9261744966442953
BME,0.959731543624161,0.8657718120805369,0.8859060402684564
BME,0.9731543624161074,0.9261744966442953,0.9463087248322147
BME,0.9731543624161074,0.8590604026845637,0.8657718120805369
BME,0.9798657718120806,0.912751677852349,0.9261744966442953
BME,0.959731543624161,0.8859060402684564,0.9060402684563759
BME,0.912751677852349,0.8456375838926175,0.8523489932885906
BME,0.9865771812080537,0.8859060402684564,0.9060402684563759
BME,0.9798657718120806,0.8859060402684564,0.9060402684563759
Beef,0.7241379310344828,0.6206896551724138,0.6551724137931034
Beef,0.7586206896551724,0.7586206896551724,0.7586206896551724
Beef,0.7931034482758621,0.7931034482758621,0.7586206896551724
Beef,0.7241379310344828,0.7241379310344828,0.7586206896551724
Beef,0.7931034482758621,0.7241379310344828,0.7931034482758621
Beef,0.8275862068965517,0.7931034482758621,0.7931034482758621
Beef,0.6896551724137931,0.6896551724137931,0.7241379310344828
Beef,0.7586206896551724,0.7586206896551724,0.7586206896551724
Beef,0.7241379310344828,0.7241379310344828,0.7586206896551724
Beef,0.7586206896551724,0.7586206896551724,0.7586206896551724
BeetleFly,0.8421052631578947,0.6842105263157895,0.7368421052631579
BeetleFly,0.7368421052631579,0.7894736842105263,0.6842105263157895
BeetleFly,0.8421052631578947,0.7894736842105263,0.7368421052631579
BeetleFly,0.8421052631578947,0.8947368421052632,0.8947368421052632
BeetleFly,0.8421052631578947,0.7368421052631579,0.9473684210526315
BeetleFly,0.7894736842105263,0.7894736842105263,0.8421052631578947
BeetleFly,0.7894736842105263,0.9473684210526315,0.8421052631578947
BeetleFly,0.7894736842105263,0.6842105263157895,0.631578947368421
BeetleFly,0.8947368421052632,0.6842105263157895,0.6842105263157895
BeetleFly,0.6842105263157895,0.7894736842105263,0.8421052631578947
BirdChicken,0.6842105263157895,0.8421052631578947,0.8947368421052632
BirdChicken,0.631578947368421,0.631578947368421,0.631578947368421
BirdChicken,0.5789473684210527,0.7368421052631579,0.6842105263157895
BirdChicken,0.7368421052631579,0.6842105263157895,0.7368421052631579
BirdChicken,0.6842105263157895,0.7368421052631579,0.6842105263157895
BirdChicken,0.6842105263157895,0.7368421052631579,0.7368421052631579
BirdChicken,0.6842105263157895,0.7894736842105263,0.6842105263157895
BirdChicken,0.6842105263157895,0.631578947368421,0.631578947368421
BirdChicken,0.7368421052631579,0.7368421052631579,0.7368421052631579
BirdChicken,0.7368421052631579,0.7368421052631579,0.6842105263157895
CBF,0.9977753058954394,0.9977753058954394,0.9955506117908788
CBF,0.9922135706340378,0.9922135706340378,0.9888765294771968
CBF,0.9933259176863182,0.9922135706340378,0.9899888765294772
CBF,0.9944382647385984,0.9911012235817576,0.9933259176863182
CBF,0.9955506117908788,0.9944382647385984,0.9944382647385984
CBF,0.9955506117908788,0.9955506117908788,0.9933259176863182
CBF,0.9922135706340378,0.985539488320356,0.9922135706340378
CBF,0.9933259176863182,0.9933259176863182,0.9933259176863182
CBF,0.9933259176863182,0.9922135706340378,0.9944382647385984
CBF,0.9933259176863182,0.9922135706340378,0.9922135706340378
Car,0.7796610169491526,0.7627118644067796,0.7796610169491526
Car,0.7966101694915254,0.7966101694915254,0.8135593220338984
Car,0.7627118644067796,0.7796610169491526,0.7796610169491526
Car,0.8135593220338984,0.8305084745762712,0.8305084745762712
Car,0.7457627118644068,0.7796610169491526,0.7796610169491526
Car,0.7796610169491526,0.7627118644067796,0.7627118644067796
Car,0.7627118644067796,0.7796610169491526,0.8135593220338984
Car,0.8135593220338984,0.8135593220338984,0.8135593220338984
Car,0.7966101694915254,0.7966101694915254,0.7966101694915254
Car,0.7966101694915254,0.8305084745762712,0.8135593220338984
Chinatown,0.8830409356725146,0.8128654970760234,0.827485380116959
Chinatown,0.8538011695906432,0.8128654970760234,0.804093567251462
Chinatown,0.8888888888888888,0.8771929824561403,0.8654970760233918
Chinatown,0.8713450292397661,0.8421052631578947,0.8391812865497076
Chinatown,0.8830409356725146,0.8538011695906432,0.8596491228070176
Chinatown,0.8976608187134503,0.8508771929824561,0.8450292397660819
Chinatown,0.9035087719298246,0.8742690058479532,0.8830409356725146
Chinatown,0.9005847953216374,0.8976608187134503,0.868421052631579
Chinatown,0.8830409356725146,0.8538011695906432,0.8567251461988304
Chinatown,0.9093567251461988,0.8801169590643275,0.8830409356725146
ChlorineConcentration,0.7410784058348528,0.745767126855952,0.7507163323782235
ChlorineConcentration,0.7429017973430581,0.757228444907528,0.7564469914040115
ChlorineConcentration,0.748632456368846,0.7533211773899453,0.760093774420422
ChlorineConcentration,0.745767126855952,0.7551445688981505,0.758791351914561
ChlorineConcentration,0.754363115394634,0.7611357124251107,0.7613961969262829
ChlorineConcentration,0.7429017973430581,0.757228444907528,0.761656681427455
ChlorineConcentration,0.7509768168793957,0.7595728054180776,0.762959103933316
ChlorineConcentration,0.7405574368325085,0.7481114873665017,0.7538421463922896
ChlorineConcentration,0.739775983328992,0.7488929408700182,0.7522792393852565
ChlorineConcentration,0.747069549361813,0.7475905183641574,0.7551445688981505
CinCECGTorso,0.9463379260333575,0.9470630891950689,0.9456127628716461
CinCECGTorso,0.9412617839013778,0.9390862944162437,0.9419869470630892
CinCECGTorso,0.9361856417693981,0.9419869470630892,0.9390862944162437
CinCECGTorso,0.9448875997099347,0.9506889050036258,0.9448875997099347
CinCECGTorso,0.9296591733139956,0.9412617839013778,0.9311094996374184
CinCECGTorso,0.9593908629441624,0.9601160261058739,0.9586656997824511
CinCECGTorso,0.9586656997824511,0.9593908629441624,0.9572153734590283
CinCECGTorso,0.9506889050036258,0.9535895576504714,0.9586656997824511
CinCECGTorso,0.9412617839013778,0.9463379260333575,0.9427121102248006
CinCECGTorso,0.949238578680203,0.9477882523567803,0.9477882523567803
Coffee,1,0.7777777777777778,0.7777777777777778
Coffee,1,0.8518518518518519,0.8888888888888888
Coffee,1,0.8518518518518519,0.8518518518518519
Coffee,1,1,1
