dataset,accuracy_breiman,accuracy_ancestor,accuracy_zhu
ACSF1,0.7878787878787878,0.8080808080808081,0.797979797979798
ACSF1,0.7676767676767676,0.797979797979798,0.8080808080808081
ACSF1,0.797979797979798,0.797979797979798,0.7777777777777778
ACSF1,0.797979797979798,0.797979797979798,0.7878787878787878
ACSF1,0.797979797979798,0.797979797979798,0.797979797979798
ACSF1,0.7777777777777778,0.7878787878787878,0.7777777777777778
ACSF1,0.7878787878787878,0.797979797979798,0.8080808080808081
ACSF1,0.7878787878787878,0.797979797979798,0.7878787878787878
ACSF1,0.7878787878787878,0.7878787878787878,0.7777777777777778
ACSF1,0.8181818181818182,0.7878787878787878,0.797979797979798
Adiac,0.7461538461538462,0.7487179487179487,0.7410256410256411
Adiac,0.7487179487179487,0.7589743589743589,0.7589743589743589
Adiac,0.7384615384615385,0.735897435897436,0.7307692307692307
Adiac,0.7435897435897436,0.7435897435897436,0.7410256410256411
Adiac,0.7461538461538462,0.735897435897436,0.735897435897436
Adiac,0.735897435897436,0.7307692307692307,0.7333333333333333
Adiac,0.7435897435897436,0.7410256410256411,0.735897435897436
Adiac,0.7333333333333333,0.7384615384615385,0.7282051282051282
Adiac,0.735897435897436,0.7333333333333333,0.7410256410256411
Adiac,0.7307692307692307,0.735897435897436,0.735897435897436
ArrowHead,0.7413793103448276,0.764367816091954,0.7413793103448276
ArrowHead,0.7528735632183908,0.7816091954022989,0.7586206896551724
ArrowHead,0.7183908045977011,0.7528735632183908,0.7241379310344828
ArrowHead,0.7413793103448276,0.7413793103448276,0.7413793103448276
ArrowHead,0.7298850574712644,0.7586206896551724,0.7413793103448276
ArrowHead,0.7298850574712644,0.7758620689655172,0.7298850574712644
ArrowHead,0.7413793103448276,0.764367816091954,0.7471264367816092
ArrowHead,0.7413793103448276,0.764367816091954,0.735632183908046
ArrowHead,0.7241379310344828,0.7586206896551724,0.7298850574712644
ArrowHead,0.7183908045977011,0.7298850574712644,0.7183908045977011
BME,0.9530201342281879,0.8859060402684564,0.912751677852349
BME,0.9664429530201343,0.8791946308724832,0.8926174496644296
BME,0.9664429530201343,0.9194630872483222,0.9395973154362416
BME,0.9664429530201343,0.8993288590604027,0.912751677852349
BME,0.9664429530201343,0.87248322147651,0.8859060402684564
BME,0.9664429530201343,0.8859060402684564,0.8993288590604027
BME,0.9731543624161074,0.87248322147651,0.8926174496644296
BME,0.9664429530201343,0.8926174496644296,0.9060402684563759
BME,0.9865771812080537,0.9194630872483222,0.9463087248322147
BME,0.9463087248322147,0.87248322147651,0.8791946308724832
Beef,0.6896551724137931,0.6896551724137931,0.6896551724137931
Beef,0.6896551724137931,0.6896551724137931,0.6896551724137931
Beef,0.6896551724137931,0.6896551724137931,0.6896551724137931
Beef,0.7586206896551724,0.7241379310344828,0.7241379310344828
Beef,0.7586206896551724,0.7241379310344828,0.7586206896551724
Beef,0.7586206896551724,0.7241379310344828,0.7241379310344828
Beef,0.6551724137931034,0.6551724137931034,0.6551724137931034
Beef,0.7931034482758621,0.7586206896551724,0.7241379310344828
Beef,0.7586206896551724,0.7241379310344828,0.6896551724137931
Beef,0.7241379310344828,0.6896551724137931,0.6896551724137931
BeetleFly,0.7894736842105263,0.8421052631578947,0.7894736842105263
BeetleFly,0.7368421052631579,0.6842105263157895,0.8421052631578947
BeetleFly,0.7894736842105263,0.8421052631578947,0.8421052631578947
BeetleFly,0.7894736842105263,0.7368421052631579,0.7368421052631579
BeetleFly,0.7894736842105263,0.8421052631578947,0.8421052631578947
BeetleFly,0.7368421052631579,0.7894736842105263,0.7894736842105263
BeetleFly,0.7368421052631579,0.6842105263157895,0.7368421052631579
BeetleFly,0.7894736842105263,0.7368421052631579,0.7894736842105263
BeetleFly,0.7894736842105263,0.7894736842105263,0.8421052631578947
BeetleFly,0.7368421052631579,0.8421052631578947,0.8421052631578947
BirdChicken,0.631578947368421,0.7894736842105263,0.631578947368421
BirdChicken,0.7894736842105263,0.7368421052631579,0.6842105263157895
BirdChicken,0.6842105263157895,0.631578947368421,0.631578947368421
BirdChicken,0.6842105263157895,0.7368421052631579,0.7368421052631579
BirdChicken,0.6842105263157895,0.7368421052631579,0.7368421052631579
BirdChicken,0.631578947368421,0.7368421052631579,0.7894736842105263
BirdChicken,0.631578947368421,0.7368421052631579,0.7894736842105263
BirdChicken,0.631578947368421,0.5789473684210527,0.7368421052631579
BirdChicken,0.7368421052631579,0.7894736842105263,0.7894736842105263
BirdChicken,0.6842105263157895,0.7894736842105263,0.8421052631578947
CBF,0.9955506117908788,0.996662958843159,0.9955506117908788
CBF,0.9955506117908788,0.9944382647385984,0.9977753058954394
CBF,0.9922135706340378,0.9922135706340378,0.9933259176863182
CBF,0.9933259176863182,0.9922135706340378,0.9922135706340378
CBF,0.9955506117908788,0.9955506117908788,0.9955506117908788
CBF,0.996662958843159,0.9955506117908788,0.9955506117908788
CBF,0.9944382647385984,0.9911012235817576,0.9944382647385984
CBF,0.9922135706340378,0.9933259176863182,0.9933259176863182
CBF,0.9955506117908788,0.9944382647385984,0.9955506117908788
CBF,0.9922135706340378,0.9922135706340378,0.9899888765294772
Car,0.7796610169491526,0.7966101694915254,0.8135593220338984
Car,0.8305084745762712,0.8305084745762712,0.8305084745762712
Car,0.7966101694915254,0.7966101694915254,0.7966101694915254
Car,0.7796610169491526,0.7796610169491526,0.7796610169491526
Car,0.7796610169491526,0.7796610169491526,0.7966101694915254
Car,0.7796610169491526,0.7966101694915254,0.8305084745762712
Car,0.7966101694915254,0.8135593220338984,0.8135593220338984
Car,0.7966101694915254,0.7966101694915254,0.7966101694915254
Car,0.7796610169491526,0.7627118644067796,0.7796610169491526
Car,0.7966101694915254,0.7627118644067796,0.8135593220338984
Chinatown,0.9064327485380117,0.8625730994152047,0.8713450292397661
Chinatown,0.9035087719298246,0.8713450292397661,0.8742690058479532
Chinatown,0.8976608187134503,0.8742690058479532,0.8713450292397661
Chinatown,0.8859649122807017,0.8654970760233918,0.8596491228070176
Chinatown,0.9152046783625731,0.8801169590643275,0.8830409356725146
Chinatown,0.9181286549707602,0.8830409356725146,0.8859649122807017
Chinatown,0.8947368421052632,0.8625730994152047,0.8654970760233918
Chinatown,0.8947368421052632,0.8742690058479532,0.868421052631579
Chinatown,0.8918128654970761,0.8830409356725146,0.8713450292397661
Chinatown,0.8859649122807017,0.8596491228070176,0.8538011695906432
ChlorineConcentration,0.7455066423547799,0.7501953633758791,0.7517582703829122
ChlorineConcentration,0.745767126855952,0.754363115394634,0.7595728054180776
ChlorineConcentration,0.7447251888512634,0.7512373013805679,0.755665537900495
ChlorineConcentration,0.7481114873665017,0.7567074759051836,0.7577494139098724
ChlorineConcentration,0.741338890336025,0.7491534253711905,0.7504558478770513
ChlorineConcentration,0.7468090648606408,0.7535816618911175,0.7564469914040115
ChlorineConcentration,0.7507163323782235,0.757228444907528,0.7626986194321438
ChlorineConcentration,0.7452461578536077,0.7551445688981505,0.7585308674133889
ChlorineConcentration,0.7429017973430581,0.752800208387601,0.7564469914040115
ChlorineConcentration,0.749934878874707,0.7606147434227664,0.7613961969262829
CinCECGTorso,0.9535895576504714,0.9572153734590283,0.9521392313270486
CinCECGTorso,0.9456127628716461,0.949238578680203,0.9470630891950689
CinCECGTorso,0.9543147208121827,0.9601160261058739,0.9564902102973168
CinCECGTorso,0.9427121102248006,0.943437273386512,0.9361856417693981
